weight|isCreditBad|pred1
2|0|0.12233326662005843
3.53498|0|0.14653867445911892
2|0|0.1734662526185774
2|0|0.1733349588246754
4.01725|0|0.21615781549808033
3.53498|0|0.09559251860454097
2|0|0.13197264329669414
3.53498|0|0.0849567250286652
3.53498|0|0.06401144355971804
2|1|0.17470122486001144
3.53498|0|0.07219244501277848
3.53498|0|0.09658785096628877
2|0|0.1628254830285498
3.53498|0|0.11337381655252798
3.53498|0|0.14927722437598942
2|1|0.11913554890265132
2|1|0.09659762888777222
4.01725|0|0.17461048031017753
2|0|0.15023799029221696
3.53498|0|0.12901943291605908
3.53498|0|0.1261066684006019
3.53498|0|0.049436027886264965
3.53498|0|0.0986061878852272
3.53498|0|0.1411237976990292
2|0|0.08468354108741236
3.53498|0|0.07692841234509333
3.53498|0|0.24333783237326861
3.53498|0|0.28803317464986555
2|0|0.06331485028412354
3.53498|0|0.11551632345935602
3.53498|0|0.11859956510421894
2|1|0.21315655764944513
2|0|0.16733456882971662
3.53498|0|0.08520108535723907
3.53498|0|0.20131829485933808
3.53498|0|0.15559616657821052
9.64051|0|0.1493611856278727
2|1|0.28321730612760976
9.64051|0|0.38422049849329537
2|1|0.12227843836934464
2|1|0.3228857091558173
9.64051|0|0.048379327806357744
9.64051|0|0.34924762546287924
9.64051|0|0.1364091122802232
9.64051|0|0.17719946347739793
9.64051|0|0.2983395436686508
9.64051|0|0.11751806923059112
9.64051|0|0.08866284126069918
2|1|0.3726778401669997
2|1|0.20407930546040318
9.64051|0|0.13323965317308206
9.64051|0|0.11588394819028716
9.64051|0|0.14047805569457245
2|1|0.23845551203614243
9.64051|0|0.13200994593682117
1|0|0.18733862146619265
9.64051|0|0.11656530701338154
9.64051|0|0.06403018250454662
9.64051|0|0.06872644372202008
2|1|0.17636042863592089
9.64051|0|0.045859953073852884
9.64051|0|0.1756414948858611
3.53498|0|0.11334703844049558
3.53498|0|0.12144749891067991
3.53498|0|0.1007717639608962
3.53498|0|0.10771824431623013
4.01725|0|0.14836479360033886
2|0|0.20816090112085234
2|1|0.16119958068740875
4.01725|0|0.3916526542040417
3.53498|0|0.16868016428848778
3.53498|0|0.2251968292343966
3.53498|0|0.1299073220296809
3.53498|0|0.09725211946621605
2|0|0.1730905115962602
3.53498|0|0.10705882548925859
3.53498|0|0.10024751634900829
3.53498|0|0.04024909144127992
2|0|0.12573541916140876
2|0|0.049559226991161956
3.53498|0|0.08156846735606409
3.53498|0|0.08488097672866533
2|0|0.06651869167948582
2|1|0.08447113621645981
3.53498|0|0.12714787327493157
2|0|0.14217615681338217
4.01725|0|0.15816716500105768
3.53498|0|0.08125630315833324
4.01725|0|0.059404870867935514
2|0|0.23865657697827525
4.01725|0|0.23606218152048034
3.53498|0|0.29496210281332097
3.53498|0|0.13811172755247705
2|0|0.057419830878811556
3.53498|0|0.08365902067084416
3.53498|0|0.07161055524612318
3.53498|0|0.19899904309088623
9.64051|0|0.2951335859587156
9.64051|0|0.1788741386966355
9.64051|0|0.06225337089784669
9.64051|0|0.1316694319770489
1|0|0.33020992364900564
9.64051|0|0.13095162307134228
9.64051|0|0.26241624684101966
9.64051|0|0.047454442311415414
2|1|0.09819612368847451
9.64051|0|0.1448241289600009
9.64051|0|0.217523479381565
9.64051|0|0.16943976239132205
9.64051|0|0.06703256721437324
9.64051|0|0.11426007352669391
9.64051|0|0.15042723303301586
1|0|0.28371067603254946
9.64051|0|0.12454560832495479
9.64051|0|0.07771169582810683
1|0|0.08375172473606374
9.64051|0|0.19756770112850833
9.64051|0|0.07690438462105803
9.64051|0|0.1319890286478117
9.64051|0|0.12855626491162434
1|0|0.07419856922661157
2|1|0.7819649395910783
2|1|0.2110039179261835
9.64051|0|0.12649899719039295
9.64051|0|0.11714596742114693
9.64051|0|0.06666365741831234
9.64051|0|0.07288103613082073
9.64051|0|0.2084696279729144
9.64051|0|0.06673578818427132
9.64051|0|0.1582755890890129
3.53498|0|0.18180264891132883
3.53498|0|0.049641071230581646
2|0|0.18756294762432205
4.01725|0|0.15622764912796072
3.53498|0|0.13970559503427285
3.53498|0|0.14017282657680688
3.53498|0|0.04302776807989283
2|0|0.10114471320195052
2|0|0.13462073587016377
2|0|0.08467732778892285
3.53498|0|0.18203320342071458
3.53498|0|0.18878116881869064
3.53498|0|0.10922393413501559
3.53498|0|0.09646256869407559
2|0|0.10670891820465878
3.53498|0|0.03528205763854982
3.53498|0|0.1509347246579093
2|0|0.21563874972941402
3.53498|0|0.09196122814676874
4.01725|0|0.17309683137381543
3.53498|0|0.08910328137397686
2|0|0.11843577168629689
2|0|0.08433254040975272
3.53498|0|0.09964370923417112
3.53498|0|0.17136511232833768
3.53498|0|0.13530642902427714
3.53498|0|0.05408280421468469
3.53498|0|0.1231444879401136
2|0|0.2440730017101934
3.53498|0|0.14769929376617588
2|0|0.14363619631247124
3.53498|0|0.06111326089485442
3.53498|0|0.12609344384750762
3.53498|0|0.16822606882137695
2|0|0.11988381468322812
3.53498|0|0.07978540362476723
